Unnamed: 0,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
897,38, Private,167873, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,60.0, United-States, <=50K
26181,53, Private,287908, Masters,14, Separated, Adm-clerical, Unmarried, White, Female,0,0,45.0, United-States, <=50K
31600,35, Private,255690, Assoc-acdm,12, Widowed, Other-service, Unmarried, White, Female,0,0,40.0, United-States, <=50K
5203,50, Private,498351, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,30.0, Mexico, <=50K
21833,41, Private,189975, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,55.0, United-States, <=50K
28561,60, Private,119838, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, >50K
19340,29, ?,348960, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,2392,20.0, United-States, >50K
19660,46, Private,134737, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60.0, United-States, >50K
15829,63, ?,123549, Preschool,1, Married-civ-spouse, ?, Husband, White, Male,0,0,40.0, United-States, <=50K
4172,29, Private,28106, HS-grad,9, Never-married, Sales, Unmarried, White, Female,0,0,40.0, United-States, <=50K
32392,34, Private,34203, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45.0, United-States, >50K
20238,46, Private,152635, Assoc-voc,11, Divorced, Other-service, Unmarried, White, Female,0,0,40.0, United-States, <=50K
22164,44, Private,222734, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,40.0, United-States, <=50K
740,42, Private,112497, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40.0, England, <=50K
13198,47, ?,285750, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,20.0, United-States, <=50K
27756,23, Private,325315, 10th,6, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40.0, United-States, <=50K
23516,44, Private,145574, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1887,40.0, United-States, >50K
29183,40, Private,95423, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, <=50K
7044,41, ?,91683, Masters,14, Divorced, ?, Not-in-family, White, Male,0,0,15.0, United-States, <=50K
13187,52, Private,381153, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40.0, United-States, <=50K
27735,29, Private,132945, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,4101,0,49.0, United-States, <=50K
9199,29, Private,248092, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40.0, United-States, <=50K
22327,34, Private,1416632, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40.0, United-States, >50K
12912,28, ?,116632, 10th,6, Never-married, ?, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
19520,46, Private,119753, Assoc-voc,11, Divorced, Other-service, Own-child, White, Female,0,0,40.0, United-States, <=50K
17369,40, Self-emp-inc,219420, 11th,7, Separated, Machine-op-inspct, Unmarried, White, Male,3325,0,35.0, ?, <=50K
10450,21, Private,124052, 10th,6, Never-married, Sales, Own-child, White, Male,0,0,20.0, United-States, <=50K
5967,37, Private,28973, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, <=50K
9333,19, Private,118696, 11th,7, Never-married, Sales, Own-child, Black, Male,0,0,24.0, United-States, <=50K
22551,32, Private,426102, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,99999,0,48.0, United-States, >50K
28193,38, Private,34377, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40.0, United-States, <=50K
23392,46, Private,251268, 11th,7, Divorced, Other-service, Not-in-family, Black, Male,0,0,35.0, United-States, <=50K
16437,37, Private,134566, Some-college,10, Separated, Craft-repair, Unmarried, White, Male,0,0,50.0, United-States, <=50K
16855,20, Private,101355, Some-college,10, Never-married, Sales, Other-relative, White, Female,0,0,25.0, Mexico, <=50K
7283,31, Private,91711, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45.0, United-States, >50K
1283,37, Private,32186, 5th-6th,3, Divorced, Adm-clerical, Own-child, White, Female,0,0,15.0, United-States, <=50K
7184,35, Private,360743, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48.0, United-States, >50K
8060,36, Private,167886, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55.0, United-States, >50K
720,21, ?,482953, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,16.0, United-States, <=50K
23258,27, Private,96062, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
7288,34, Local-gov,117916, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,36.0, United-States, <=50K
31342,46, Private,158291, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,38.0, United-States, <=50K
1918,23, Private,52465, 7th-8th,4, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40.0, United-States, <=50K
1066,18, Private,140364, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,10.0, United-States, >50K
15815,46, Private,135063, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40.0, United-States, <=50K
8550,35, Private,380922, 5th-6th,3, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20.0, United-States, <=50K
15631,29, Private,110554, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,6849,0,32.0, United-States, <=50K
4746,51, Private,200808, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45.0, United-States, >50K
17191,22, Private,120131, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40.0, United-States, <=50K
22647,49, Private,103824, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10.0, United-States, <=50K
20832,29, Private,102009, Prof-school,15, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,72.0, United-States, <=50K
27298,20, Private,145439, Masters,14, Never-married, Prof-specialty, Own-child, White, Male,0,0,20.0, United-States, <=50K
4235,50, Private,149640, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, >50K
23188,55, Private,106102, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50.0, United-States, >50K
964,33, Private,140292, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40.0, United-States, <=50K
25519,65, Private,481848, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, >50K
14193,24, Private,58914, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40.0, United-States, <=50K
4527,22, Private,171223, 11th,7, Never-married, Transport-moving, Other-relative, White, Male,0,0,48.0, United-States, <=50K
22904,23, Private,258170, Some-college,10, Married-civ-spouse, ?, Other-relative, White, Female,0,0,13.0, United-States, <=50K
18283,36, Private,103110, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Female,0,0,27.0, United-States, <=50K
15347,52, Private,381714, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50.0, United-States, >50K
3060,29, Private,120939, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50.0, United-States, >50K
11602,23, Private,123983, 10th,6, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40.0, ?, <=50K
22267,26, Local-gov,18344, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50.0, Mexico, <=50K
26625,39, Private,73155, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35.0, United-States, <=50K
8362,61, Private,35560, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72.0, United-States, >50K
31647,54, Federal-gov,404505, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,35.0, United-States, <=50K
4501,21, Private,240768, 5th-6th,3, Never-married, Other-service, Own-child, White, Female,0,0,40.0, United-States, <=50K
25297,38, Private,281540, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50.0, United-States, <=50K
25739,61, Private,325159, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40.0, United-States, <=50K
29325,33, Private,926648, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40.0, Mexico, <=50K
6600,44, Private,94973, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,45.0, United-States, >50K
25823,44, Private,292027, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40.0, United-States, >50K
9176,45, Private,261779, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40.0, Mexico, >50K
26668,36, Private,134031, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,45.0, United-States, <=50K
18679,58, Private,193720, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
21100,24, Private,214034, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,20.0, United-States, <=50K
10069,29, Local-gov,274364, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60.0, United-States, >50K
8504,31, Private,103746, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40.0, United-States, <=50K
9018,28, Private,112497, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50.0, United-States, <=50K
10668,54, Private,312579, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,43.0, United-States, <=50K
7545,38, Private,50464, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60.0, United-States, <=50K
7128,33, Private,141482, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40.0, United-States, <=50K
9265,55, Private,27243, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,38.0, United-States, <=50K
21156,43, Local-gov,142036, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,43.0, United-States, >50K
1496,52, Private,54800, Some-college,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,40.0, United-States, <=50K
22059,28, Private,178811, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
15991,47, Private,165630, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,36.0, United-States, <=50K
10356,61, Private,81259, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40.0, United-States, >50K
20110,34, Private,101161, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,1590,40.0, United-States, <=50K
21924,26, Private,196063, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48.0, United-States, <=50K
8742,51, State-gov,173938, Prof-school,15, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40.0, United-States, <=50K
18011,33, Private,82493, HS-grad,9, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
7268,45, Private,54064, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40.0, United-States, >50K
3840,46, State-gov,116632, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,48.0, United-States, >50K
3624,41, Local-gov,112497, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,20.0, United-States, >50K
7688,43, Private,100196, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, >50K
1073,27, Private,163409, 12th,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60.0, United-States, <=50K
32445,30, Private,164566, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40.0, United-States, >50K
5206,46, Private,222654, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50.0, United-States, <=50K
20650,39, Private,158683, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,25.0, United-States, <=50K
23753,22, Private,474052, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,35.0, United-States, <=50K
22586,29, Private,216361, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50.0, United-States, <=50K
16371,29, Private,166220, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40.0, United-States, <=50K
25183,27, Private,61319, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40.0, United-States, <=50K
885,42, Self-emp-inc,504055, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60.0, United-States, >50K
9529,24, Private,26420, HS-grad,9, Never-married, Exec-managerial, Own-child, White, Male,0,0,37.0, United-States, <=50K
27409,44, Private,265628, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40.0, United-States, >50K
4613,41, Private,165815, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65.0, United-States, >50K
19921,64, Private,161708, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,6849,0,70.0, United-States, <=50K
23280,24, Private,116608, HS-grad,9, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40.0, United-States, <=50K
4951,34, Local-gov,142907, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
28172,53, Federal-gov,235210, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,7688,0,40.0, United-States, >50K
8183,21, Private,102606, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Female,0,0,40.0, United-States, <=50K
1025,38, Private,142811, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35.0, United-States, <=50K
1504,48, Private,134737, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,20.0, United-States, <=50K
29035,32, Private,185846, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
3862,35, State-gov,86923, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
14253,45, Private,121124, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
4329,53, Local-gov,211825, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40.0, United-States, >50K
14180,31, Private,172147, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70.0, Germany, >50K
5268,27, Private,194848, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,40.0, United-States, <=50K
20108,36, Private,217450, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40.0, United-States, >50K
9472,51, Local-gov,209703, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50.0, United-States, >50K
23467,56, Private,163039, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, <=50K
472,25, Local-gov,315842, Prof-school,15, Divorced, Prof-specialty, Own-child, White, Female,0,0,40.0, United-States, <=50K
94,36, Local-gov,243631, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40.0, United-States, <=50K
16330,35, Self-emp-not-inc,104531, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50.0, United-States, <=50K
4278,31, Private,123840, HS-grad,9, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40.0, United-States, <=50K
28621,47, Self-emp-not-inc,245274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688,0,40.0, United-States, >50K
23737,23, Private,38795, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,45.0, United-States, <=50K
15925,28, Private,277362, Some-college,10, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40.0, United-States, <=50K
29317,42, Local-gov,205865, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45.0, United-States, <=50K
22050,49, Private,290560, Bachelors,13, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,25.0, United-States, <=50K
15432,18, Private,136051, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,18.0, United-States, <=50K
19104,37, Private,126569, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40.0, United-States, >50K
26297,17, ?,15058, Some-college,10, Never-married, ?, Not-in-family, White, Male,0,0,40.0, United-States, <=50K
31748,53, Private,121019, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40.0, United-States, >50K
17157,29, Local-gov,199767, Doctorate,16, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40.0, United-States, <=50K
825,60, Private,493442, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,48.0, United-States, <=50K
10340,30, Private,197387, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,20.0, United-States, <=50K
13438,21, Private,154041, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,20.0, United-States, <=50K
25767,59, Local-gov,32296, Some-college,10, Divorced, Craft-repair, Unmarried, White, Male,0,0,40.0, United-States, <=50K
23821,47, Private,202930, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40.0, United-States, <=50K
7296,43, Local-gov,113535, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,38.0, Mexico, <=50K
6391,31, Private,143030, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,35.0, United-States, <=50K
7307,46, Private,116677, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1672,60.0, United-States, <=50K
7321,45, Self-emp-inc,376455, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45.0, United-States, >50K
24215,37, Private,61885, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,25.0, United-States, <=50K
20525,26, ?,189131, 9th,5, Divorced, ?, Other-relative, White, Male,0,0,40.0, United-States, <=50K
8932,23, Private,46857, Masters,14, Never-married, Sales, Own-child, White, Male,0,0,40.0, United-States, <=50K
25322,34, Private,67147, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,40.0, United-States, <=50K
